city,state,ev_network,total_stations,total_ports,dc_fast_pct,level2_pct,rolling_avg_ports
Los Altos Hills,CA,ChargePoint Network,20,37,0.0,100.0,38.14
Sacramento,CA,Tesla Destination,7,37,0.0,100.0,54.86
Corona,CA,ChargePoint Network,26,37,40.54,59.46,37.86
Hesperia,CA,Tesla,2,36,100.0,0.0,38.57
Menifee,CA,Tesla,2,36,100.0,0.0,38.0
Los Altos,CA,Tesla,2,36,100.0,0.0,37.43
Santa Barbara,CA,POWERFLEX,4,36,0.0,100.0,49.0
Pasadena,CA,LOOP,6,36,0.0,100.0,48.0
Hollister,CA,Tesla,2,36,100.0,0.0,36.86
Atascadero,CA,Tesla,3,36,100.0,0.0,36.43
Calistoga,CA,Tesla Destination,18,36,0.0,100.0,47.86
Palo Alto,CA,Non-Networked,8,36,5.56,91.67,50.86
Torrance,CA,Tesla,2,36,100.0,0.0,36.14
Fontana,CA,ChargePoint Network,25,36,8.33,91.67,37.43
Santa Monica,CA,eVgo Network,4,36,100.0,0.0,70.5
Bishop,CA,Tesla,2,36,100.0,0.0,36.0
Auburn,CA,Tesla,3,36,100.0,0.0,36.0
Sacramento,CA,EVCS,4,36,44.44,55.56,90.2
Los Angeles,CA,eVgo Network,7,36,97.22,2.78,65.57
South San Francisco,CA,Tesla,2,36,100.0,0.0,36.0
Paso Robles,CA,Tesla,2,36,100.0,0.0,36.0
Modesto,CA,Tesla,3,36,100.0,0.0,36.0
Oakland,CA,POWERFLEX,1,36,0.0,100.0,45.29
Tehachapi,CA,EVCS,3,36,44.44,55.56,81.17
Davis,CA,Tesla,2,36,100.0,0.0,36.0
San Fernando,CA,Tesla,2,36,100.0,0.0,36.0
El Monte,CA,Tesla,2,36,100.0,0.0,36.0
San Francisco,CA,Electrify America,5,35,94.29,5.71,55.0
Concord,CA,Tesla,2,35,100.0,0.0,35.86
Placerville,CA,Non-Networked,9,35,0.0,100.0,45.57
Hayward,CA,EV Connect,7,35,0.0,100.0,74.67
San Diego,CA,DIRT_ROAD,8,35,14.29,85.71,35.0
Milpitas,CA,EVGATEWAY,1,35,0.0,100.0,71.57
Highland,CA,ChargePoint Network,19,35,8.57,91.43,36.86
Brentwood,CA,ChargePoint Network,23,35,0.0,100.0,36.43
Davis,CA,ChargePoint Network,19,35,2.86,97.14,36.0
Redlands,CA,SYNERGEV,4,35,5.71,94.29,35.0
Woodland Hills,CA,LOOP,2,35,0.0,100.0,44.57
Petaluma,CA,ChargePoint Network,19,35,0.0,100.0,35.71
Gilroy,CA,ChargePoint Network,21,35,5.71,94.29,35.43
Rocklin,CA,ChargePoint Network,19,34,11.76,88.24,35.0
Montebello,CA,Blink Network,1,34,0.0,100.0,40.0
Chico,CA,ChargePoint Network,26,34,11.76,88.24,34.71
Palm Springs,CA,Non-Networked,17,34,0.0,100.0,41.57
Yosemite Valley,CA,RIVIAN_WAYPOINTS,3,34,0.0,100.0,34.0
Grand Terrace,CA,LOOP,2,34,0.0,100.0,41.14
Anaheim,CA,Blink Network,8,34,0.0,100.0,38.14
Rancho Cucamonga,CA,ChargePoint Network,19,34,26.47,73.53,34.57
