city,state,ev_network,total_stations,total_level1_ports,total_level2_ports,total_dc_fast_ports,total_ports,avg_ports_per_station,dc_fast_pct,level2_pct,created_at
Culver City,CA,POWERFLEX,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Philo,CA,Tesla Destination,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Vallejo,CA,Blink Network,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Ross,CA,ChargePoint Network,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Red Bluff,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Glendale,CA,Non-Networked,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Canoga Park,CA,Non-Networked,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Millbrae,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Upland,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Luis Obispo,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Olancha,CA,RIVIAN_ADVENTURE,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Ontario,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Menifee,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Tulare,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Forestville,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rutherford,CA,Blink Network,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Desert Hot Springs,CA,FLO,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Dublin,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Clearlake Oaks,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Bernardino,CA,Non-Networked,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Simi Valley,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Carmel-by-the-Sea,CA,Blink Network,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
North Highland,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Panorama City,CA,AMPUP,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
St Helena,CA,Tesla Destination,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Merced,CA,Non-Networked,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Chowchilla,CA,ChargePoint Network,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Novato,CA,AUTEL,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Castro Valley,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Maria,CA,EV Connect,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Victorville,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Shoshone,CA,RIVIAN_WAYPOINTS,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carpinteria,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,AUTEL,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Burbank,CA,Blink Network,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Dinuba,CA,LOOP,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Clemente,CA,TURNONGREEN,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Clovis,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
San Jose,CA,EVCS,2,0,0,3,3,1.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Bakersfield,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Orange,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Suisun City,CA,Blink Network,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Encino,CA,FLO,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
South Gate,CA,Non-Networked,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Oroville,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Thousand Oaks,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Shafter,CA,ChargePoint Network,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Hawthorne,CA,LOOP,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Escondido,CA,NOODOE,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Weed,CA,ChargePoint Network,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Chatsworth,CA,FLO,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Salinas,CA,Tesla Destination,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Carpinteria,CA,LOOP,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sunnyvale,CA,NOODOE,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sausalito,CA,Tesla Destination,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
San Ysidro,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Winters,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Brooks,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Napa,CA,Non-Networked,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Fe Springs,CA,LOOP,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Gabriel,CA,Non-Networked,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Dunnigan,CA,ChargePoint Network,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Rancho Cucamonga,CA,Non-Networked,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Tujunga,CA,ChargePoint Network,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Rio Vista,CA,EV Connect,1,0,2,1,3,3.00,33.33,66.67,2026-06-21 21:47:05.311903+00
West Sacramento,CA,OpConnect,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Acton,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Creston,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Norwalk,CA,POWERFLEX,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Susanville,CA,Non-Networked,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Woodside,CA,ChargePoint Network,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Hartle Ct,CA,ChargePoint Network,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Montclair,CA,Non-Networked,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Solvang,CA,Tesla Destination,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Exeter,CA,OpConnect,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
El Granada,CA,ChargePoint Network,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Victorville,CA,EV Connect,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Banning,CA,EVCS,1,0,2,1,3,3.00,33.33,66.67,2026-06-21 21:47:05.311903+00
Malibu,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Oakland,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pacific Grove,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Calabasas,CA,LOOP,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sea Ranch,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lotus,CA,Non-Networked,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Beverly Hills,CA,ABM,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Downey,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
El Cajon,CA,Non-Networked,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Gardena,CA,Non-Networked,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mill Valley,CA,eVgo Network,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Granite Bay,CA,Non-Networked,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Clearlake,CA,Non-Networked,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,Non-Networked,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Belvedere,CA,EV Connect,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Fort Bragg,CA,Tesla Destination,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Monte Rio,CA,ChargePoint Network,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Orange,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Coachella,CA,ChargePoint Network,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Lakehead,CA,ChargePoint Network,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Ladera Ranch,CA,ABM,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Montebello,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Turlock,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Concord,CA,Blink Network,2,0,1,2,3,1.50,66.67,33.33,2026-06-21 21:47:05.311903+00
La Mesa,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Groveland,CA,Tesla Destination,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Windsor,CA,AUTEL,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Williams,CA,Non-Networked,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Anderson,CA,ChargePoint Network,2,0,2,1,3,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Placentia,CA,Non-Networked,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Pacifica,CA,ChargePoint Network,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Walnut Creek,CA,7CHARGE,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Cypress,CA,Electrify America,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Rolling Hills Estates,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Grover Beach,CA,ChargePoint Network,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hawaiian Gardens,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Midpines,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
West Sacramento,CA,Electrify America,1,0,0,3,3,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Rancho Murieta,CA,Tesla Destination,1,0,3,0,3,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Eureka,CA,Non-Networked,3,0,3,0,3,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Woodland Hills,CA,eVgo Network,1,0,1,2,3,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
El Cajon,CA,Blink Network,2,0,3,0,3,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
City of Industry,CA,Non-Networked,1,0,2,1,3,3.00,33.33,66.67,2026-06-21 21:47:05.311903+00
Camarillo,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Susanville,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Fillmore,CA,AMPUP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Capitola,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Ontario,CA,EV Connect,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hermosa Beach,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Chatsworth,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
"Walnut, California",CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Gardena,CA,LOOP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Cayucos,CA,Non-Networked,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hesperia,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carson,CA,CHAEVI,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Ridgecrest,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Port Hueneme,CA,EV Connect,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Watsonville,CA,EVCS,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Visalia,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
San Dimas,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Twain Harte,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Vista,CA,Non-Networked,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Aliso Viejo,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Perris,CA,EVGATEWAY,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lake Arrowhead,CA,LOOP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Fallbrook,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Chula Vista,CA,CHARGELAB,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Anza,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Westminster,CA,EV Connect,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Galt,CA,ChargePoint Network,2,0,0,2,2,1.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Fillmore,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Anselmo,CA,LOOP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sierra Madre,CA,LOOP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Encino,CA,AMPUP,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
La Crescenta,CA,POWERFLEX,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Simi Valley,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
City of Industry,CA,CHARGESMART_EV,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Inyokern,CA,RIVIAN_WAYPOINTS,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Idyllwild,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
North Hollywood,CA,Non-Networked,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,ITSELECTRIC,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Norco,CA,Non-Networked,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Dublin,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Angwin,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
El Dorado Hills,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Hacienda Heights,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lynwood,CA,POWERFLEX,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Gilbert,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Galt,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lake Balboa,CA,FLO,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Buellton,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Avenal,CA,CHAEVI,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Bear Valley,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Jenner,CA,Non-Networked,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Dinuba,CA,EVCS,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Pacoima,CA,FLO,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Venice,CA,eVgo Network,2,0,0,2,2,1.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lathrop,CA,FLASH,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Julian,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Baldwin Park,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Philo,CA,RIVIAN_WAYPOINTS,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Walnut,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sausalito,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,AMPUP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Death Valley,CA,Non-Networked,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
West Hollywood,CA,POWERFLEX,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hemet,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carson,CA,TURNONGREEN,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Escondido,CA,Non-Networked,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Redwood City,CA,CHARGELAB,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Trinidad,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hollister,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Ventura,CA,eVgo Network,1,0,1,1,2,2.00,50.00,50.00,2026-06-21 21:47:05.311903+00
Newark,CA,EV Connect,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Prather,CA,NOODOE,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mission Viejo,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Long Beach,CA,7CHARGE,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Monterey,CA,EVCS,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Waterford,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Needles,CA,Non-Networked,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Encinitas,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Orange Cove,CA,Electrify America,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lompoc,CA,EVCS,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Eagle Rock,CA,AMPUP,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Orangevale,CA,7CHARGE,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Selma,CA,ChargePoint Network,2,0,0,2,2,1.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Berkeley,CA,AMPUP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Pismo Beach,CA,AMPUP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Woodside,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Bernardino,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Pinole,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Barbara,CA,EVGATEWAY,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Palmdale,CA,Non-Networked,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Idyllwild-Pine Cove,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Fremont,CA,EV Connect,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Bakerfield,CA,Electrify America,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Larkspur,CA,Non-Networked,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Topanga,CA,POWERFLEX,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hope Valley,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Wawona,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Torrance,CA,CHARGEUP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,EVCS,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Alamo,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Antioch,CA,Non-Networked,1,0,1,1,2,2.00,50.00,50.00,2026-06-21 21:47:05.311903+00
Colma,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Van Nuys,CA,FLO,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Seaside,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Guerneville,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
China Lake,CA,CHARGELAB,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Manteca,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Folsom,CA,NOODOE,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Alameda,CA,ITSELECTRIC,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Three Rivers,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Tiburon,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Marina,CA,EVRANGE,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Clio,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Parlier,CA,Electrify America,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mira loma,CA,Blink Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
National City,CA,EVCS,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Commerce,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Red Bluff,CA,Non-Networked,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Auburn,CA,OpConnect,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Montecito,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rolling Hills Estates,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Long Beach,CA,AMPUP,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Pedro,CA,eVgo Network,1,0,0,2,2,2.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lake City,CA,Tesla Destination,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hidden Hills,CA,ChargePoint Network,1,0,2,0,2,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
El Monte,CA,EV Connect,2,0,2,0,2,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
